"","BonusMalus","PayFreq","VehClass","VehPower","VehGas","VehAge","Garage","Area","Region","Channel","DrivGender","DrivAge","Marketing","Windscreen","TPL","Damage","Other","Theft","Fire","Total","Sev_Windscreen","Sev_TPL","Sev_Damage","Sev_Other","Sev_Theft","Sev_Fire","Sev_Total"
"12","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",6,"Opened & closed collective parking","A5+A6","Headquarters","A","M",27,"M2",0,0,0,0,1,0,1,0,0,0,0,846,0,846
"13","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",8,"Street","A5+A6","Headquarters","A","M",37,"M4",1,0,0,0,0,0,1,261,0,0,0,0,0,261
"14","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",1,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",37,"M2",0,1,0,0,0,0,1,0,6676,0,0,0,0,6676
"15","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",2,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",37,"M2",0,1,0,0,0,0,1,0,6810,0,0,0,0,6810
"16","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",11,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",30,"M2",1,0,0,0,0,0,1,106,0,0,0,0,0,106
"17","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",7,"Closed zbox","A2+A3+A4","Headquarters","A","M",32,"M1",1,0,0,0,0,0,1,46,0,0,0,0,0,46
"18","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",5,"Closed zbox","A5+A6","Headquarters","A","M",49,"M1",0,1,0,0,0,0,1,0,505,0,0,0,0,505
"19","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",5,"Closed zbox","A5+A6","Headquarters","A","M",49,"M1",0,1,0,0,0,0,1,0,515,0,0,0,0,515
"20","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",13,"Closed zbox","A5+A6","Headquarters","A","F",32,"M1",1,0,0,0,0,0,1,351,0,0,0,0,0,351
"21","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",13,"Closed zbox","A5+A6","Headquarters","A","F",32,"M1",1,1,0,0,0,0,2,0,505,0,0,0,0,505
"22","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",13,"Closed zbox","A5+A6","Headquarters","A","F",32,"M1",1,1,0,0,0,0,2,358,0,0,0,0,0,358
"24","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",7,"Closed zbox","A2+A3+A4","Headquarters","A","M",39,"M1",0,1,0,0,0,0,1,0,499,0,0,0,0,499
"25","bonus","Annual","Cheapest","P2-P9","Regular",10,"Opened & closed collective parking","A7-A10+A12","Headquarters","A","F",45,"M2",0,1,0,0,0,0,1,0,897,0,0,0,0,897
"26","bonus","Annual","Cheapest","P2-P9","Regular",10,"Opened & closed collective parking","A7-A10+A12","Headquarters","A","F",45,"M2",0,1,0,0,0,0,1,0,915,0,0,0,0,915
"27","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",3,"Closed zbox","A2+A3+A4","Headquarters","A","F",38,"M1",0,1,0,0,0,0,1,0,194,0,0,0,0,194
"28","bonus","Annual","Cheapest","P10+P11+P12","Regular",15,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",32,"M2",1,0,0,0,0,0,1,189,0,0,0,0,0,189
"29","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",3,"Closed zbox","A2+A3+A4","Headquarters","A","F",35,"M1",0,0,0,0,0,1,1,0,0,0,0,0,12612,12612
"30","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",7,"Closed zbox","A2+A3+A4","Headquarters","A","M",33,"M1",1,0,0,0,0,0,1,198,0,0,0,0,0,198
"32","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",7,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","F",24,"M2",1,0,0,0,0,0,1,443,0,0,0,0,0,443
"33","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",9,"Opened & closed collective parking","A5+A6","Headquarters","A","M",46,"M2",1,0,0,0,0,0,1,134,0,0,0,0,0,134
"34","malus","Annual","Cheapest","P2-P9","Regular",6,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","F",32,"M3",0,1,0,0,0,0,1,0,592,0,0,0,0,592
"35","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",14,"Street","A7-A10+A12","Headquarters","A","M",63,"M4",0,1,0,0,0,0,1,0,897,0,0,0,0,897
"36","bonus","bi+monthly+quarterly","other","P13-P17","Regular",8,"Opened & closed collective parking","A7-A10+A12","Headquarters","A","M",34,"M3",0,1,0,0,0,0,1,0,1063,0,0,0,0,1063
"37","bonus","bi+monthly+quarterly","other","P13-P17","Regular",9,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",35,"M3",0,1,0,0,0,0,1,0,1084,0,0,0,0,1084
"38","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",10,"Opened & closed collective parking","A7-A10+A12","Headquarters","A","M",37,"M2",0,1,0,0,0,0,1,0,915,0,0,0,0,915
"39","bonus","Annual","Cheaper","P10+P11+P12","Diesel",5,"Closed zbox","A5+A6","Headquarters","A","F",43,"M1",1,1,0,0,0,0,2,276,0,0,0,0,0,276
"40","bonus","Annual","Cheaper","P10+P11+P12","Diesel",5,"Closed zbox","A5+A6","Headquarters","A","F",43,"M1",1,1,0,0,0,0,2,0,3072,0,0,0,0,3072
"41","bonus","Annual","Cheaper","P10+P11+P12","Diesel",6,"Closed zbox","A5+A6","Headquarters","A","F",43,"M1",1,0,0,0,0,0,1,282,0,0,0,0,0,282
"42","bonus","Annual","other","P13-P17","Regular",8,"Closed zbox","A5+A6","Headquarters","A","M",38,"M1",1,0,0,0,0,0,1,259,0,0,0,0,0,259
"43","bonus","Annual","other","P13-P17","Regular",8,"Closed zbox","A5+A6","Headquarters","A","M",38,"M1",1,0,0,0,0,0,1,264,0,0,0,0,0,264
"44","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",5,"Closed zbox","A5+A6","Headquarters","A","F",47,"M1",1,0,0,0,0,0,1,407,0,0,0,0,0,407
"45","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",6,"Closed zbox","A5+A6","Headquarters","A","F",47,"M1",0,0,1,0,0,0,1,0,0,4683,0,0,0,4683
"46","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",6,"Closed zbox","A5+A6","Headquarters","A","F",47,"M1",0,0,1,0,0,0,1,0,0,4777,0,0,0,4777
"47","bonus","Annual","other","P13-P17","Regular",1,"Closed zbox","A2+A3+A4","Headquarters","A","M",37,"M1",0,1,0,0,0,0,1,0,689,0,0,0,0,689
"48","bonus","Annual","Cheaper","P10+P11+P12","Regular",9,"Closed zbox","A2+A3+A4","Headquarters","A","M",28,"M1",1,0,0,0,0,0,1,143,0,0,0,0,0,143
"49","bonus","bi+monthly+quarterly","other","P13-P17","Regular",1,"Closed zbox","A2+A3+A4","Headquarters","A","M",33,"M1",1,0,0,0,0,0,1,420,0,0,0,0,0,420
"50","bonus","bi+monthly+quarterly","other","P13-P17","Regular",1,"Closed zbox","A2+A3+A4","Headquarters","A","M",33,"M1",1,0,0,0,0,0,1,428,0,0,0,0,0,428
"51","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",2,"Opened & closed collective parking","A5+A6","Headquarters","A","F",32,"M3",1,0,0,0,0,0,1,177,0,0,0,0,0,177
"52","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",5,"Opened & closed collective parking","A5+A6","Headquarters","A","M",33,"M3",0,1,0,0,0,0,1,0,381,0,0,0,0,381
"53","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",8,"Closed zbox","A5+A6","Headquarters","A","F",33,"M1",1,0,0,0,0,0,1,219,0,0,0,0,0,219
"54","malus","bi+monthly+quarterly","other","P13-P17","Regular",6,"Closed zbox","A5+A6","Headquarters","A","M",36,"M1",0,1,0,0,0,0,1,0,1987,0,0,0,0,1987
"55","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",8,"Closed zbox","A2+A3+A4","Headquarters","A","F",39,"M1",0,1,0,0,0,0,1,0,195,0,0,0,0,195
"56","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",8,"Closed zbox","A2+A3+A4","Headquarters","A","F",39,"M1",0,1,0,0,0,0,1,0,199,0,0,0,0,199
"57","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",1,"Closed zbox","A2+A3+A4","Headquarters","A","F",30,"M1",1,0,0,0,0,0,1,89,0,0,0,0,0,89
"58","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",2,"Closed zbox","A2+A3+A4","Headquarters","A","F",30,"M1",0,0,1,0,0,0,1,0,0,1425,0,0,0,1425
"59","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",2,"Closed zbox","A2+A3+A4","Headquarters","A","F",30,"M1",1,0,1,0,0,0,2,91,0,0,0,0,0,91
"60","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",2,"Closed zbox","A2+A3+A4","Headquarters","A","F",30,"M1",1,0,1,0,0,0,2,0,0,1454,0,0,0,1454
"61","bonus","Annual","Cheaper","P10+P11+P12","Diesel",5,"Opened & closed collective parking","A7-A10+A12","Headquarters","A","M",32,"M2",0,1,0,0,0,0,1,0,1717,0,0,0,0,1717
"62","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",4,"Closed zbox","A7-A10+A12","Headquarters","A","M",37,"M1",0,0,1,0,0,0,1,0,0,1551,0,0,0,1551
"63","bonus","bi+monthly+quarterly","other","P13-P17","Regular",5,"Closed zbox","A7-A10+A12","Headquarters","A","F",53,"M1",0,1,0,0,0,0,1,0,3094,0,0,0,0,3094
"64","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",8,"Closed zbox","A2+A3+A4","Headquarters","A","M",36,"M1",1,0,0,0,0,0,1,107,0,0,0,0,0,107
"65","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",8,"Closed zbox","A2+A3+A4","Headquarters","A","M",36,"M1",1,0,0,0,0,0,1,109,0,0,0,0,0,109
"66","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",9,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",32,"M3",0,0,0,0,1,0,1,0,0,0,0,2330,0,2330
"67","bonus","Annual","other","P13-P17","Diesel",8,"Closed zbox","A7-A10+A12","Headquarters","A","M",41,"M1",0,1,0,0,0,0,1,0,343,0,0,0,0,343
"68","bonus","bi+monthly+quarterly","other","P10+P11+P12","Regular",1,"Street","A7-A10+A12","Headquarters","A","M",37,"M4",1,0,0,0,0,0,1,853,0,0,0,0,0,853
"69","bonus","Annual","Cheapest","P2-P9","Regular",6,"Closed zbox","A5+A6","Headquarters","A","M",33,"M1",0,1,0,0,0,0,1,0,608,0,0,0,0,608
"70","bonus","Annual","Cheapest","P2-P9","Regular",6,"Closed zbox","A5+A6","Headquarters","A","M",33,"M1",0,1,0,0,0,0,1,0,620,0,0,0,0,620
"71","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",8,"Closed zbox","A5+A6","Headquarters","A","F",40,"M1",1,0,0,0,0,0,1,216,0,0,0,0,0,216
"72","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",1,"Closed zbox","A7-A10+A12","Headquarters","A","M",62,"M1",0,1,0,0,0,0,1,0,195,0,0,0,0,195
"73","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",2,"Closed zbox","A2+A3+A4","Headquarters","A","F",44,"M1",0,0,1,0,0,0,1,0,0,1052,0,0,0,1052
"74","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",8,"Closed zbox","A2+A3+A4","Headquarters","A","M",31,"M1",0,1,0,0,0,0,1,0,491,0,0,0,0,491
"75","bonus","bi+monthly+quarterly","Cheaper","P2-P9","Regular",14,"Opened & closed collective parking","A5+A6","Headquarters","A","M",57,"M2",0,1,0,0,0,0,1,0,306,0,0,0,0,306
"76","bonus","bi+monthly+quarterly","Cheaper","P2-P9","Regular",14,"Opened & closed collective parking","A5+A6","Headquarters","A","M",57,"M2",1,0,0,0,0,0,1,307,0,0,0,0,0,307
"77","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",8,"Closed zbox","A5+A6","Headquarters","A","F",58,"M1",0,1,0,0,0,0,1,0,319,0,0,0,0,319
"78","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",1,"Street","A5+A6","Headquarters","A","M",34,"M4",0,1,0,0,0,0,1,0,210,0,0,0,0,210
"79","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",4,"Opened & closed collective parking","A5+A6","Headquarters","A","M",31,"M2",0,1,1,0,0,0,2,0,2998,0,0,0,0,2998
"80","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",4,"Opened & closed collective parking","A5+A6","Headquarters","A","M",31,"M2",0,1,1,0,0,0,2,0,0,34,0,0,0,34
"81","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",4,"Opened & closed collective parking","A5+A6","Headquarters","A","M",31,"M2",0,1,0,0,0,0,1,0,3058,0,0,0,0,3058
"82","bonus","bi+monthly+quarterly","other","P10+P11+P12","Regular",6,"Closed zbox","A7-A10+A12","Headquarters","A","M",43,"M1",1,0,0,0,0,0,1,254,0,0,0,0,0,254
"83","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",2,"Closed zbox","A7-A10+A12","Headquarters","A","F",41,"M1",0,1,0,0,0,0,1,0,418,0,0,0,0,418
"84","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",2,"Closed zbox","A7-A10+A12","Headquarters","A","F",41,"M1",0,2,0,0,0,0,2,0,448.5,0,0,0,0,448.5
"85","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",2,"Closed zbox","A7-A10+A12","Headquarters","A","F",41,"M1",0,2,0,0,0,0,2,0,213,0,0,0,0,213
"86","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",7,"Closed zbox","A5+A6","Headquarters","A","F",30,"M1",1,0,0,0,0,0,1,53,0,0,0,0,0,53
"87","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",7,"Closed zbox","A5+A6","Headquarters","A","F",30,"M1",1,0,0,0,0,0,1,54,0,0,0,0,0,54
"88","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",5,"Closed zbox","A7-A10+A12","Headquarters","A","F",42,"M1",1,0,0,0,0,0,1,270,0,0,0,0,0,270
"89","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",7,"Closed zbox","A2+A3+A4","Headquarters","A","M",46,"M1",0,1,0,0,0,0,1,0,738,0,0,0,0,738
"90","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",1,"Opened & closed collective parking","A5+A6","Headquarters","A","F",43,"M2",0,1,0,0,0,0,1,0,897,0,0,0,0,897
"91","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",1,"Opened & closed collective parking","A5+A6","Headquarters","A","F",43,"M2",0,1,0,0,0,0,1,0,915,0,0,0,0,915
"92","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",6,"Closed zbox","A5+A6","Headquarters","A","F",46,"M1",0,1,0,0,0,0,1,0,785,0,0,0,0,785
"93","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",10,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",29,"M2",1,0,0,0,0,0,1,320,0,0,0,0,0,320
"94","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",10,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",30,"M2",1,0,0,0,0,0,1,326,0,0,0,0,0,326
"95","bonus","bi+monthly+quarterly","other","P13-P17","Regular",11,"Closed zbox","A2+A3+A4","Headquarters","A","F",49,"M1",1,0,0,0,0,0,1,438,0,0,0,0,0,438
"96","bonus","bi+monthly+quarterly","other","P13-P17","Regular",11,"Closed zbox","A2+A3+A4","Headquarters","A","F",49,"M1",1,0,0,0,0,0,1,447,0,0,0,0,0,447
"97","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",5,"Closed zbox","A5+A6","Headquarters","A","F",42,"M1",0,0,1,0,0,0,1,0,0,461,0,0,0,461
"98","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",4,"Closed zbox","A5+A6","Headquarters","A","M",52,"M1",0,2,0,0,0,0,2,0,448.5,0,0,0,0,448.5
"99","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",4,"Closed zbox","A5+A6","Headquarters","A","M",52,"M1",0,2,0,0,0,0,2,0,316446.5,0,0,0,0,316446.5
"100","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",4,"Closed zbox","A5+A6","Headquarters","A","M",52,"M1",0,1,0,0,0,0,1,0,915,0,0,0,0,915
"101","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",8,"Closed zbox","A2+A3+A4","Headquarters","A","F",37,"M1",1,0,0,0,0,0,1,392,0,0,0,0,0,392
"102","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",8,"Closed zbox","A2+A3+A4","Headquarters","A","F",37,"M1",1,0,0,0,0,0,1,229,0,0,0,0,0,229
"103","bonus","Annual","Cheaper","P10+P11+P12","Regular",4,"Opened & closed collective parking","A5+A6","Headquarters","A","M",31,"M2",0,1,0,0,0,0,1,0,1332,0,0,0,0,1332
"104","bonus","Annual","Cheaper","P10+P11+P12","Regular",4,"Opened & closed collective parking","A5+A6","Headquarters","A","M",31,"M2",0,0,0,0,1,0,1,0,0,0,0,505,0,505
"105","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",7,"Closed zbox","A5+A6","Headquarters","A","M",29,"M1",0,1,0,0,0,0,1,0,1463,0,0,0,0,1463
"106","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",2,"Closed zbox","A2+A3+A4","Headquarters","A","F",45,"M1",0,0,1,0,0,0,1,0,0,11431,0,0,0,11431
"107","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",1,"Closed zbox","A2+A3+A4","Headquarters","A","F",45,"M1",0,0,1,0,0,0,1,0,0,11207,0,0,0,11207
"109","bonus","Annual","Cheapest","P2-P9","Regular",16,"Closed zbox","A7-A10+A12","Headquarters","A","M",29,"M1",0,1,0,0,0,1,2,0,716,0,0,0,0,716
"110","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",1,"Closed zbox","A7-A10+A12","Headquarters","A","F",47,"M1",1,0,1,0,0,0,2,262,0,0,0,0,0,262
"111","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Diesel",1,"Closed zbox","A7-A10+A12","Headquarters","A","F",47,"M1",1,0,1,0,0,0,2,0,0,201,0,0,0,201
"112","bonus","Annual","Cheapest","P10+P11+P12","Diesel",2,"Closed zbox","A7-A10+A12","Headquarters","A","F",48,"M1",1,0,0,0,0,0,1,422,0,0,0,0,0,422
"113","bonus","Annual","other","P13-P17","Diesel",1,"Closed zbox","A7-A10+A12","Headquarters","A","M",48,"M1",0,1,0,0,0,0,1,0,20620,0,0,0,0,20620
"114","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",5,"Closed zbox","A2+A3+A4","Headquarters","A","M",36,"M1",0,0,0,0,1,0,1,0,0,0,0,1540,0,1540
"115","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",11,"Street","A7-A10+A12","Headquarters","A","M",47,"M4",0,1,0,0,0,0,1,0,5099,0,0,0,0,5099
"116","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",11,"Street","A7-A10+A12","Headquarters","A","M",47,"M4",0,1,0,0,0,0,1,0,5201,0,0,0,0,5201
"117","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",9,"Closed zbox","A5+A6","Headquarters","A","M",32,"M1",1,0,0,0,0,0,1,189,0,0,0,0,0,189
"118","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",10,"Closed zbox","A5+A6","Headquarters","A","M",32,"M1",1,0,0,0,0,0,1,193,0,0,0,0,0,193
"119","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",15,"Closed zbox","A2+A3+A4","Headquarters","A","F",32,"M1",1,0,0,0,0,0,1,510,0,0,0,0,0,510
"120","bonus","Annual","Cheapest","P2-P9","Regular",9,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",44,"M2",0,1,0,0,0,0,1,0,615,0,0,0,0,615
"121","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Regular",5,"Closed zbox","A5+A6","Headquarters","A","M",35,"M1",0,1,0,0,0,0,1,0,1461,0,0,0,0,1461
"122","bonus","bi+monthly+quarterly","Cheapest","P10+P11+P12","Regular",5,"Closed zbox","A5+A6","Headquarters","A","M",36,"M1",0,1,0,0,0,0,1,0,1490,0,0,0,0,1490
"123","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",16,"Closed zbox","A5+A6","Headquarters","B+L","F",33,"M1",0,1,0,0,0,0,1,0,897,0,0,0,0,897
"124","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",16,"Closed zbox","A5+A6","Headquarters","B+L","F",33,"M1",0,1,0,0,0,0,1,0,915,0,0,0,0,915
"125","bonus","Annual","Cheapest","P2-P9","Regular",23,"Opened & closed collective parking","A5+A6","Headquarters","A","M",43,"M3",0,1,0,0,0,0,1,0,473,0,0,0,0,473
"126","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Regular",9,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",30,"M2",0,1,0,0,0,0,1,0,3178,0,0,0,0,3178
"127","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",4,"Closed zbox","A5+A6","Headquarters","A","M",31,"M1",0,1,0,0,0,0,1,0,1401,0,0,0,0,1401
"128","bonus","Annual","other","P13-P17","Diesel",2,"Closed zbox","A7-A10+A12","Headquarters","A","M",62,"M1",0,0,0,0,1,0,1,0,0,0,0,20418,0,20418
"129","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",12,"Closed zbox","A5+A6","Headquarters","A","M",46,"M1",0,1,0,0,0,0,1,0,1380,0,0,0,0,1380
"130","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",9,"Closed zbox","A5+A6","Headquarters","A","M",32,"M1",0,1,0,0,0,0,1,0,897,0,0,0,0,897
"131","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",14,"Opened & closed collective parking","A5+A6","Headquarters","A","F",37,"M2",0,1,0,0,0,0,1,0,25,0,0,0,0,25
"132","bonus","Annual","other","P13-P17","Regular",9,"Closed zbox","A2+A3+A4","Headquarters","A","M",48,"M1",2,0,0,0,0,0,2,233.5,0,0,0,0,0,233.5
"133","bonus","Annual","other","P13-P17","Regular",9,"Closed zbox","A2+A3+A4","Headquarters","A","M",48,"M1",2,0,0,0,0,0,2,235,0,0,0,0,0,235
"134","bonus","Annual","other","P13-P17","Regular",9,"Closed zbox","A2+A3+A4","Headquarters","A","M",48,"M1",1,0,0,0,0,0,1,476,0,0,0,0,0,476
"135","bonus","bi+monthly+quarterly","other","P13-P17","Diesel",4,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",34,"M3",0,0,1,0,0,0,1,0,0,1118,0,0,0,1118
"136","bonus","bi+monthly+quarterly","other","P10+P11+P12","Diesel",10,"Closed zbox","A2+A3+A4","Headquarters","A","M",45,"M1",1,0,0,0,0,0,1,117,0,0,0,0,0,117
"137","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",6,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",35,"M2",1,0,0,0,0,0,1,283,0,0,0,0,0,283
"138","bonus","bi+monthly+quarterly","Cheapest","P2-P9","Regular",6,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",35,"M2",1,0,0,0,0,0,1,289,0,0,0,0,0,289
"139","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",8,"Opened & closed collective parking","A5+A6","Headquarters","A","M",32,"M2",0,1,0,0,0,0,1,0,897,0,0,0,0,897
"140","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",8,"Opened & closed collective parking","A5+A6","Headquarters","A","M",33,"M2",0,0,0,0,0,1,1,0,0,0,0,0,969,969
"141","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",10,"Closed zbox","A2+A3+A4","Headquarters","A","F",33,"M1",1,0,0,0,0,0,1,119,0,0,0,0,0,119
"143","bonus","Annual","Cheapest","P2-P9","Diesel",11,"Opened & closed collective parking","A2+A3+A4","Headquarters","A","M",31,"M2",0,0,0,0,0,1,1,0,0,0,0,0,8234,8234
"145","bonus","bi+monthly+quarterly","Cheaper","P10+P11+P12","Diesel",7,"Closed zbox","A5+A6","Headquarters","A","F",48,"M1",1,0,0,0,0,0,1,362,0,0,0,0,0,362
